,"Aude, Dean  (147871) D, J, L, P, S",05,67,05,95,05,79,OFF,,OFF,,OFF,,05,S1,05,74,05,79,05,,OFF,,OFF,,13,S1,OFF,,05,73,05,81,05,73,OFF,,OFF,,OFF,,05,S1,05,S1,05,77,05,61,05,83,OFF,,OFF,,OFF,,OFF,,OFF,,05,78
,,,,,,,,,,,,,,,,,,,,L,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Aungst, Rachel  (724160) D, P",OFF,,13,32,13,08,13,39,13,46,13,10,OFF,,13,03,13,RCP,13,10,13,15,13,93,13,23,13,40,13,14,13,41,13,04,13,38,13,66,OFF,,OFF,,13,28,13,28,13,67,13,66,OFF,,OFF,,OFF,,OFF,,OFF,,13,06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Auterson, Laura  (773577) D",OFF,,13,16,13,16,13,16,OFF,,OFF,,OFF,,OFF,,13,15,13,15,13,15,13,15,OFF,,OFF,,OFF,,OFF,,13,16,13,16,13,16,13,16,OFF,,OFF,,OFF,,13,15,13,15,13,15,13,RC2,13,16,OFF,,OFF,,OFF,
,,,,L,F,L,F,L,F,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,L,F,L,F,,,,,,,,,,,,
,"Avery, Jared  (224091) D, E, J",OFF,,OFF,,OFF,,OFF,,OFF,,05,27,05,22,05,22,05,22,05,22,05,22,05,22,05,22,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,22,05,22,05,22,05,22,05,22,05,22,05,22,05,22,OFF,,05,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,
Name (ID) Qualification,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,May,
,,01,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,
,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,
,"Avery, Jared  (224091) D, E, J",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Axtell, Chanae  (755564) D",OFF,,13,27,13,27,13,27,OFF,,OFF,,OFF,,OFF,,OFF,,13,27,13,27,13,27,OFF,,OFF,,13,30,13,27,OFF,,13,27,13,27,OFF,,OFF,,OFF,,OFF,,13,27,13,27,13,27,13,27,OFF,,OFF,,OFF,,13,27
,,,,,,,,L,F,,,,,,,,,,,,,,,,,,,,,L,F,,,,,,,,,,,,,,,,,,,,,L,F,,,,,,,,,L,F
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Azpeitia, Melissa  (485498) D, L",05,17,05,83,05,81,OFF,,OFF,,OFF,,05,81,05,29,05,74,OFF,,OFF,,05,79,OFF,,OFF,,05,72,05,44,05,76,05,76,05,82,OFF,,OFF,,OFF,,05,81,05,77,05,61,05,62,OFF,,OFF,,OFF,,05,,05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,L,S,,,L,S,,,,,,,,,,,,,,,,,,,,,L,V,L,V
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Bachman, Cody  (719593) D, Ops",13,C4,13,18,13,C9,13,02,13,35,OFF,,05,C4,05,C7,05,18,05,18,OFF,,OFF,,OFF,,13,04,13,18,13,18,13,C9,OFF,,OFF,,OFF,,OFF,,05,RC2,05,C5,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,10,13,C5
,,L,S,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bagley, Juanita  (522899) D, R",05,R1,05,R1,05,R1,OFF,,OFF,,OFF,,OFF,,05,R2,05,R2,05,R2,OFF,,OFF,,OFF,,OFF,,05,R1,05,R1,05,R1,05,R1,OFF,,OFF,,OFF,,OFF,,05,R2,05,R2,05,R2,05,R2,OFF,,OFF,,OFF,,05,R1,05,R1
,,,,,,,,,,,,,,,,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bagot, Blake  (719586) D, J, P",05,64,05,13,OFF,,OFF,,OFF,,05,RCP,05,12,05,12,05,13,OFF,,OFF,,OFF,,OFF,,05,13,05,13,05,13,05,13,OFF,,OFF,,OFF,,05,12,05,12,05,12,05,13,OFF,,OFF,,OFF,,OFF,,05,13,05,13,05,13
,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Baier, Matt  (608933) D, MAXPAY, Ops, R",05,C4,05,C4,21,R2,OFF,,OFF,,OFF,,05,C8,05,C8,05,C8,05,C9,OFF,,OFF,,OFF,,05,C4,05,C4,05,C4,05,C4,OFF,,OFF,,05,19,05,C7,05,C8,05,C8,05,C8,21,C6,OFF,,22,96,OFF,,05,RC2,05,C4,05,C4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,L,S,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Bailey, Glenn  (878409) D",21,10,21,11,OFF,,OFF,,OFF,,OFF,,21,47,21,19,21,04,OFF,,OFF,,OFF,,OFF,,21,33,21,43,21,09,21,19,OFF,,OFF,,OFF,,21,41,21,33,21,11,21,25,21,93,OFF,,OFF,,OFF,,OFF,,OFF,,21,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,
,"Baird, Mitchell  (597187) D, E, P",05,51,OFF,,OFF,,OFF,,05,28,05,35,05,56,05,34,05,07,OFF,,05,24,05,24,05,19,OFF,,05,22,05,46,OFF,,OFF,,OFF,,05,56,05,56,05,56,05,55,05,48,OFF,,OFF,,OFF,,OFF,,05,44,05,09,05,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Baker, Sarah  (174231) D, L",OFF,,05,78,05,78,05,78,05,78,OFF,,OFF,,OFF,,OFF,,13,78,13,78,13,78,13,78,OFF,,OFF,,OFF,,05,78,05,78,05,78,05,78,OFF,,OFF,,OFF,,OFF,,13,78,13,78,13,78,13,78,OFF,,OFF,,OFF,
,,,,,,,,,,L,S,,,,,,,,,L,V,,,L,x,L,x,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,
,"Ballard, Joshua  (718332) D, L",05,73,05,35,05,35,OFF,,OFF,,OFF,,OFF,,05,27,OFF,,OFF,,OFF,,OFF,,OFF,,05,79,05,38,05,35,05,35,05,82,05,35,05,11,05,11,05,11,05,13,05,24,05,24,05,24,05,41,OFF,,OFF,,OFF,,OFF,
,"Barber, Matt  (742530) A, D, J, L, MAXPAY, Ops",13,C3,13,A4,13,A6,13,A2,13,C7,OFF,,OFF,,OFF,,05,C6,05,C7,05,C7,05,C7,13,C7,OFF,,05,C11,OFF,,13,RCO,13,C7,13,A2,13,C7,OFF,,OFF,,OFF,,05,C6,05,C7,05,A2,05,A6,OFF,,OFF,,05,C2,13,A5
Name (ID) Qualification,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,May,
,,01,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,
,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,
,"Barkley, Camelia  (616226) A, D, E, J, MAXPAY, P, R",13,R1,OFF,,OFF,,OFF,,OFF,,OFF,,05,R1,05,R1,05,R1,05,R1,05,R2,05,31,05,53,05,48,OFF,,05,A3,05,56,13,R1,05,R2,13,A6,OFF,,05,RC2,05,R1,OFF,,05,R1,OFF,,05,R2,13,RCP,13,93,13,R1,13,R1
,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,L,V,,,,,,,,,L,S,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Barry, Mark  (110871) A, D",13,A1,13,A1,13,A1,OFF,,OFF,,13,A3,13,A3,13,A3,OFF,,13,A6,13,A1,13,A6,OFF,,OFF,,13,A1,13,A1,13,A1,13,A1,13,A1,OFF,,13,A1,13,A3,13,A3,13,RC2,OFF,,OFF,,OFF,,OFF,,OFF,,13,A1,13,A1
,"Barthule, Alex  (591757) D, P, R",13,R2,13,R2,13,R2,13,R2,OFF,,OFF,,OFF,,13,R1,13,RCP,13,R1,13,R1,OFF,,OFF,,OFF,,OFF,,13,R2,13,R2,13,R2,13,R2,OFF,,OFF,,OFF,,13,R1,13,R1,13,R1,13,R1,13,47,OFF,,13,R2,13,RC2,13,R2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,
,"Bartlett, Mark  (390893) A, D, MAXPAY, Ops",OFF,,OFF,,OFF,,OFF,,13,A6,13,C10,13,A6,13,A6,OFF,,OFF,,OFF,,05,A6,05,A6,05,A6,05,A6,OFF,,OFF,,OFF,,OFF,,13,A6,13,A6,13,RCO,13,A6,OFF,,OFF,,OFF,,05,A6,05,A6,05,A6,05,A6,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,w,L,w,,,L,w,,,,,,,L,w,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,A6,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,w,,,,,,,,,,,,,,,,,,
,"Bartoletta, Marco  (203669) D, J, L",13,04,OFF,,21,47,OFF,,OFF,,13,12,13,12,13,12,13,12,OFF,,OFF,,OFF,,13,02,13,02,13,02,13,04,13,09,13,,OFF,,OFF,,13,12,13,12,13,12,13,12,OFF,,OFF,,13,21,13,21,13,02,13,02,13,04
,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,L,e,,,,,,,,,,,,,,,,,,,,,,,,,L,S
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,02,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,
,"Beard, Leslie  (624226) D, E, P",05,52,05,54,OFF,,OFF,,05,65,05,65,05,67,OFF,,OFF,,OFF,,OFF,,05,52,05,52,05,RCP,05,52,OFF,,OFF,,OFF,,OFF,,05,65,05,65,05,67,05,67,05,67,OFF,,OFF,,05,52,05,52,05,65,05,52,05,55
,"Bechtel, Christopher  (232707) D, L, Ops",13,RCO,13,77,13,C6,06,95,OFF,,OFF,,OFF,,13,C3,13,C2,13,78,13,C6,13,14,OFF,,21,C2,OFF,,13,44,13,C7,OFF,,OFF,,13,18,OFF,,OFF,,OFF,,OFF,,13,75,13,19,13,C4,14,79,13,15,OFF,,13,62
,"Beck, Keriellen  (750560) D, L",21,27,21,45,21,90,21,33,OFF,,21,77,OFF,,OFF,,21,,21,,21,74,21,,21,78,OFF,,21,45,OFF,,OFF,,OFF,,OFF,,21,15,OFF,,OFF,,21,29,21,23,21,27,21,74,21,33,OFF,,21,41,21,19,21,27
,,,,,,,,,,,,,,,,,,L,V,L,V,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Becker, Robert  (367728) D, E, P",13,45,13,45,13,54,13,54,OFF,,13,54,OFF,,OFF,,OFF,,05,54,OFF,,OFF,,05,RCP,OFF,,OFF,,OFF,,OFF,,13,54,13,54,13,54,13,54,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,55,05,65,OFF,
,,,,,,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
